"cutoff","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
0.2,0.937355164854829,0.88064406487563,0.807761997285961,0.963335445457449,0.807761997285961,0.937355164854829,0.867746758275664,0.348550008264282,0.326715150456719,0.404469573407099,0.908999614865229
0.21,0.932787545295933,0.890366792409475,0.819892335701843,0.961178796139585,0.819892335701843,0.932787545295933,0.872703986070622,0.348550008264282,0.325123106621717,0.396543658800525,0.911577168852704
0.22,0.92866281930837,0.899024376232694,0.831100612563558,0.959274053490795,0.831100612563558,0.92866281930837,0.877177266004648,0.348550008264282,0.323685433344664,0.389466002613384,0.913843597770532
0.23,0.924645461459312,0.906413361928652,0.840921943975426,0.957413994928311,0.840921943975426,0.924645461459312,0.880798610741187,0.348550008264282,0.322285183233174,0.383252197831328,0.915529411693982
0.24,0.921021786784772,0.913239856002145,0.850295097946085,0.955775556062136,0.850295097946085,0.921021786784772,0.884246423839211,0.348550008264282,0.321022151395416,0.377542046485809,0.917130821393458
0.25,0.917317586006353,0.919515826360033,0.859116867010512,0.95409806750927,0.859116867010512,0.917317586006353,0.887263821307953,0.348550008264282,0.319731052183486,0.372162466436098,0.918416706183193
0.26,0.913904173936384,0.925205369281734,0.867330692514425,0.952572939590567,0.867330692514425,0.913904173936384,0.890008560916476,0.348550008264282,0.318541307378289,0.367266268941579,0.919554771609059
0.27,0.910490761866416,0.930578959462306,0.875269325878938,0.951055434466191,0.875269325878938,0.910490761866416,0.89253269890693,0.348550008264282,0.317351562573092,0.362575898857658,0.920534860664361
0.28,0.907063928779135,0.935102828255749,0.882050211207253,0.949509654996415,0.882050211207253,0.907063928779135,0.89438221081211,0.348550008264282,0.3161571398722,0.358434401868663,0.921083378517442
0.29,0.903610253657227,0.939140800030638,0.888193131348665,0.947944450887162,0.888193131348665,0.903610253657227,0.895835366124096,0.348550008264282,0.314953361379917,0.354600086697,0.921375526843933
0.3,0.900442893571333,0.94289872278498,0.894035499173818,0.946528201604106,0.894035499173818,0.900442893571333,0.897227757198069,0.348550008264282,0.313849377995802,0.351048004565626,0.921670808178156
0.31,0.897199481053997,0.94641489382073,0.899581946550162,0.94507572136069,0.899581946550162,0.897199481053997,0.898389134271661,0.348550008264282,0.312718886536081,0.347626903513723,0.921807187437364
0.32,0.894152910123921,0.949660590161423,0.904794455434787,0.943722006693418,0.904794455434788,0.894152910123921,0.899442208126796,0.348550008264282,0.311657004213225,0.344450612336547,0.921906750142672
0.33,0.891464232988861,0.952633418225686,0.909663194222535,0.942544333295442,0.909663194222535,0.891464232988861,0.900471770585737,0.348550008264282,0.31071986577558,0.341576825081006,0.922048825607273
0.34,0.888587661611417,0.955479386477223,0.914374890666863,0.941276338873064,0.914374890666863,0.888587661611417,0.901296862663242,0.348550008264282,0.309717236798199,0.338720190109681,0.92203352404432
0.35,0.885711090233973,0.957961530360186,0.918518552884303,0.939997839198813,0.918518552884303,0.885711090233973,0.90181654201095,0.348550008264282,0.308714607820818,0.336100568520257,0.92183631029708
0.36,0.882892676598219,0.960362292476495,0.922585350118974,0.938753067961937,0.922585350118974,0.882892676598219,0.902302700008915,0.348550008264282,0.307732249724784,0.333554233963394,0.921627484537357
0.37,0.880257683532412,0.962619439710472,0.926467056845951,0.937598645942373,0.926467056845951,0.880257683532412,0.902771437288804,0.348550008264282,0.30681382286992,0.331165388561609,0.921438561621442
0.38,0.877743479622422,0.964608505830764,0.92992018503422,0.936494657538703,0.92992018503422,0.877743479622422,0.903078813766058,0.348550008264282,0.305937497076315,0.328993285660379,0.921175992726593
