"cutoff","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
0.11,0.980839260949313,0.692807766692837,0.630768699634912,0.985418432762395,0.630768699634912,0.980839260949313,0.767783133753679,0.348550008264282,0.341871532509816,0.541991910359044,0.836823513821075
0.12,0.97484453988279,0.726538115389771,0.656040101759721,0.98181194789736,0.656040101759721,0.97484453988279,0.784282462186311,0.348550008264282,0.339782072432537,0.517928814901905,0.85069132763628
0.13,0.96888113452333,0.754444880608161,0.678568631075657,0.978407641137231,0.678568631075657,0.96888113452333,0.798145544534387,0.348550008264282,0.337703527445214,0.497670407943691,0.861663007565746
0.14,0.963266675614012,0.778287344656569,0.699207980594063,0.975369487681744,0.699207980594063,0.963266675614012,0.810266483780107,0.348550008264282,0.335746607745972,0.480181315237154,0.87077701013529
0.15,0.958309846553035,0.799472933381843,0.718857806354618,0.97285670179363,0.718857806354618,0.958309846553035,0.821490341656472,0.348550008264282,0.334018904935804,0.46465226082699,0.878891389967439
0.16,0.953366438509372,0.818099783620244,0.737133389369113,0.970404272414704,0.737133389369113,0.953366438509372,0.831420651501762,0.348550008264282,0.332295880021331,0.450794774478649,0.885733111064808
0.17,0.94822618887845,0.835144476571625,0.754749297620277,0.967895850844561,0.754749297620277,0.94822618887845,0.840497183564946,0.348550008264282,0.330504245969993,0.437899375344995,0.891685332725038
0.18,0.942844360935892,0.849845853359631,0.770620799602173,0.965266374501126,0.770620799602173,0.942844360935892,0.848077325478455,0.348550008264282,0.328628409796137,0.42644632738409,0.896345107147761
0.19,0.937686216615219,0.863489267181127,0.786102995503182,0.962824375935796,0.786102995503182,0.937686216615219,0.85522979090629,0.348550008264282,0.326830538550538,0.41576045431723,0.900587741898173
0.2,0.932778597951058,0.874956915535301,0.799647164854551,0.960517015311284,0.799647164854551,0.932778597951058,0.861097516906716,0.348550008264282,0.325119988024587,0.406579304365724,0.903867756743179
0.21,0.927870979286897,0.885084158321046,0.812032871735241,0.958219421244529,0.812032871735241,0.927870979286897,0.866095831062727,0.348550008264282,0.323409437498636,0.398271361610693,0.906477568803971
0.22,0.923276517693374,0.893930835072669,0.823234700471491,0.956095438021607,0.823234700471491,0.923276517693374,0.87039036404737,0.348550008264282,0.321808037872244,0.390906794487568,0.908603676383022
0.23,0.918869950342236,0.901913428948931,0.833671572487357,0.954081632653061,0.833671572487357,0.918869950342236,0.874199836562362,0.348550008264282,0.320272128785587,0.384170624686191,0.910391689645583
0.24,0.914816803113676,0.90892183520671,0.843114537808197,0.952251149774057,0.843114537808197,0.914816803113676,0.877503379320703,0.348550008264282,0.318859404285576,0.378192273987469,0.911869319160193
0.25,0.911211023128886,0.915283974493997,0.851959209623718,0.950658565326996,0.851959209623718,0.911211023128886,0.880589529751019,0.348550008264282,0.317602609642079,0.372790863757847,0.913247498811442
0.26,0.907569453764595,0.921007027554909,0.860084537734609,0.949040925604832,0.860084537734609,0.907569453764595,0.883189196366573,0.348550008264282,0.31633334061006,0.367793311856594,0.914288240659752
0.27,0.904214199436317,0.9261723761561,0.867601292909174,0.947567166481777,0.867601292909174,0.904214199436317,0.885529460473655,0.348550008264282,0.31516386668621,0.363258871629186,0.915193287796209
0.28,0.900984207936295,0.931024165597534,0.874825162674729,0.946161517878861,0.874825162674729,0.900984207936295,0.887712013822772,0.348550008264282,0.314038053122184,0.358972359873634,0.916004186766914
0.29,0.898053952489599,0.935514524251767,0.881673203532982,0.944907417480798,0.881673203532982,0.898053952489599,0.889788193159328,0.348550008264282,0.313016712562021,0.355025775205282,0.916784238370683
0.3,0.89485527669664,0.939341860865902,0.887553301474471,0.943494933224345,0.887553301474471,0.89485527669664,0.891189332121479,0.348550008264282,0.311901814087951,0.351417558325563,0.917098568781271
0.31,0.89171923231781,0.942972923807518,0.893233729627024,0.942118264887137,0.893233729627024,0.89171923231781,0.8924758384619,0.348550008264282,0.310808745793792,0.347959034108097,0.917346078062664
0.32,0.888797924215989,0.946158780613906,0.898294049293068,0.940837373585912,0.898294049293068,0.888797924215989,0.893520756829931,0.348550008264282,0.30979052383076,0.344865385754872,0.917478352414947
0.33,0.885773721648101,0.949162725236007,0.903122662336478,0.939506441937272,0.903122662336478,0.885773721648101,0.894364065894852,0.348550008264282,0.30873643800073,0.341854380225599,0.917468223442054
0.34,0.882825571511654,0.952039810045382,0.907822886716504,0.938217526578116,0.907822886716504,0.882825571511654,0.895149748812102,0.348550008264282,0.307708860246307,0.338952525595886,0.917432690778518
